hostname-cleaned,canonical-to-text,ga-total-views,techstack-status,techstack-opensource-platform,techstack-platform,techstack-frameworks
evq.dtsc.ca.gov,evq.dtsc.ca.gov,"66,035",403,unknown,undetermined,
tahoe.ca.gov,tahoe.ca.gov,"62,838",403,unknown,undetermined,
educatortools.ctc.ca.gov,educatortools.ctc.ca.gov,"58,634",403,unknown,undetermined,
speechandhearing.ca.gov,speechandhearing.ca.gov,"54,537",200,unknown,undetermined,
psychology.ca.gov,psychology.ca.gov,"53,456",200,unknown,undetermined,
filerequest.conservation.ca.gov,filerequest.conservation.ca.gov,"53,296",403,unknown,undetermined,
earthquake.ca.gov,earthquake.ca.gov,"51,240",none,error,undetermined,
reducetherisk.ca.gov,reducetherisk.ca.gov,"49,936",none,error,undetermined,
energysafety.ca.gov,energysafety.ca.gov,"47,837",200,yes,WordPress,
lab.data.ca.gov,lab.data.ca.gov,"46,877",200,unknown,undetermined,
perb.ca.gov,perb.ca.gov,"45,113",200,yes,WordPress,
calguard.ca.gov,calguard.ca.gov,"43,747",200,yes,WordPress,
ptbc.ca.gov,ptbc.ca.gov,"43,281",200,no,ASP.NET (proprietary/custom),Bootstrap; Google Analytics; Google Fonts; Google Tag Manager; jQuery
cuiab.ca.gov,cuiab.ca.gov,"42,780",200,yes,WordPress,
vmb.ca.gov,vmb.ca.gov,"40,591",200,yes,WordPress,
taxes.ca.gov,taxes.ca.gov,"40,280",200,yes,WordPress,
scdd.ca.gov,scdd.ca.gov,"40,265",200,yes,WordPress,
pestboard.ca.gov,pestboard.ca.gov,"38,386",200,unknown,undetermined,
ots.ca.gov,ots.ca.gov,"37,190",200,yes,WordPress,
web.dir.ca.gov,web.dir.ca.gov,"36,398",none,error,undetermined,
hsr-staging.hsr.ca.gov,hsr-staging.hsr.ca.gov,"35,677",200,unknown,undetermined,
scc.ca.gov,scc.ca.gov,"35,059",200,yes,WordPress,
cers.calepa.ca.gov,cers.calepa.ca.gov,"33,135",200,yes,WordPress,
californiavolunteers.ca.gov,californiavolunteers.ca.gov,"32,405",403,unknown,undetermined,
dcss.ca.gov,dcss.ca.gov,"32,056",200,yes,WordPress,
cab.ca.gov,cab.ca.gov,"30,732",200,unknown,undetermined,
bot.ca.gov,bot.ca.gov,"30,306",200,unknown,undetermined,
esiuar.insurance.ca.gov,esiuar.insurance.ca.gov,"30,112",200,no,ASP.NET (proprietary/custom),Bootstrap; Google Tag Manager; jQuery
preview-dot.dot.ca.gov,preview-dot.dot.ca.gov,"29,444",none,error,undetermined,
apps.calvet.ca.gov,apps.calvet.ca.gov,"27,897",none,error,undetermined,
cwdb.ca.gov,cwdb.ca.gov,"27,886",200,yes,WordPress,
catc.ca.gov,catc.ca.gov,"27,124",200,no,Sitecore,Bootstrap; Google Analytics; Google Fonts; Modernizr; jQuery
sgc.ca.gov,sgc.ca.gov,"26,447",200,yes,WordPress,
slc.ca.gov,slc.ca.gov,"24,997",200,yes,WordPress,
capitolmuseum.ca.gov,capitolmuseum.ca.gov,"24,828",200,yes,WordPress,
rcb.ca.gov,rcb.ca.gov,"24,828",200,yes,WordPress,
hsr-test.hsr.ca.gov,hsr-test.hsr.ca.gov,"24,314",200,yes,WordPress,
wpso.dmhc.ca.gov,wpso.dmhc.ca.gov,"22,925",403,unknown,undetermined,
bscc.ca.gov,bscc.ca.gov,"22,718",none,error,undetermined,
ombc.ca.gov,ombc.ca.gov,"22,608",200,no,ASP.NET (proprietary/custom),Bootstrap; Google Analytics; Google Fonts; Google Tag Manager; jQuery
bcdc.ca.gov,bcdc.ca.gov,"21,913",200,yes,WordPress,
v2gel.energy.ca.gov,v2gel.energy.ca.gov,"21,552",200,no,ASP.NET (proprietary/custom),Bootstrap; Google Analytics; Google Fonts; Modernizr; jQuery
maps.conservation.ca.gov,maps.conservation.ca.gov,"21,343",403,unknown,undetermined,
courtreportersboard.ca.gov,courtreportersboard.ca.gov,"20,986",200,yes,WordPress,
solarequipment.energy.ca.gov,solarequipment.energy.ca.gov,"20,711",200,no,ASP.NET (proprietary/custom),Google Analytics; Google Fonts; jQuery
labor.ca.gov,labor.ca.gov,"20,674",200,yes,WordPress,
localhost,localhost,"20,283",none,error,undetermined,
cdpr.ca.gov,cdpr.ca.gov,"20,242",200,yes,WordPress,
calpest.cdpr.ca.gov,calpest.cdpr.ca.gov,"20,107",200,yes,WordPress,
bhgs.dca.ca.gov,bhgs.dca.ca.gov,"19,947",200,unknown,undetermined,
news.caloes.ca.gov,news.caloes.ca.gov,"19,523",none,error,undetermined,
eservices.calhr.ca.gov,eservices.calhr.ca.gov,"19,522",403,no,ASP.NET (proprietary/custom),
pab.ca.gov,pab.ca.gov,"19,452",200,unknown,undetermined,
chiro.ca.gov,chiro.ca.gov,"18,936",200,no,ASP.NET (proprietary/custom),Google Analytics; jQuery
ocpsc.ca.gov,ocpsc.ca.gov,"18,443",200,yes,WordPress,
cfb.ca.gov,cfb.ca.gov,"18,388",200,yes,Drupal,
broadbandforall.cdt.ca.gov,broadbandforall.cdt.ca.gov,"18,367",200,yes,WordPress,
d06web,d06web,"17,926",none,error,undetermined,
qa.calcareers.ca.gov,qa.calcareers.ca.gov,"16,790",403,unknown,undetermined,
acupuncture.ca.gov,acupuncture.ca.gov,"16,662",200,unknown,undetermined,
d06web.dot.ca.gov,d06web.dot.ca.gov,"15,941",none,error,undetermined,
learning.parks.ca.gov,learning.parks.ca.gov,"15,890",200,yes,WordPress,
etp.ca.gov,etp.ca.gov,"15,749",200,yes,WordPress,
wftiic.ca.gov,wftiic.ca.gov,"15,645",none,error,undetermined,
mets.dot.ca.gov,mets.dot.ca.gov,"15,493",403,unknown,undetermined,
ltg.ca.gov,ltg.ca.gov,"15,298",200,yes,WordPress,
optometry.ca.gov,optometry.ca.gov,"14,868",200,unknown,undetermined,
ota.ca.gov,ota.ca.gov,"14,726",200,yes,WordPress,
dhbc.ca.gov,dhbc.ca.gov,"14,621",200,no,ASP.NET (proprietary/custom),Google Analytics; Google Fonts; Google Tag Manager; jQuery
alrb.ca.gov,alrb.ca.gov,"14,075",403,unknown,undetermined,
uiost16int.network1.corp.edd.ca.gov,uiost16int.network1.corp.edd.ca.gov,"13,058",none,error,undetermined,
sandbox.data.ca.gov,sandbox.data.ca.gov,"12,416",200,unknown,undetermined,
cjp.ca.gov,cjp.ca.gov,"11,977",200,yes,WordPress,
tqr.dtsc.ca.gov,tqr.dtsc.ca.gov,"11,855",403,unknown,undetermined,Cloudflare
